title,data_h,content,newspaper,data_w,date,data_y,data_x,article_id,page
"""Pioneers.""","67,37,34,39,37,44,38,43,36,43,37,43,37,44,35,41,35,44,33,45,40,46,38,52,36,49,39,40,35,39,34,40,37,38,36,36,37,35,37,35","""Pioneers.""
(Written for the ""Town and Country Journal."")
(By A. B. Paterson, ""The Banjo."")
They came of bold and roving stock that would
not fixed abide;
They were the sons of field and flock since e'er
they learnt to ride.
We may not hope to see such men in these de-
generate years
As those explorers of the bush-the brave old
pioneers.
'Twas they that rode the trackless bush in heat
and storm and drought;
'Twas they that heard the master-word that called
them further out;
'Twas they that followed up the trail the moun-
tain cattle made,
And pressed across the mighty range where now
their bones are laid.
But now the times are dull and slow, the brave
old days are dead
When hardy bushmen started out, and forced
their way ahead
By tangled scrub and forests grim towards the
unknown west,
And spied the far-off promised land from off the
ranges' crest.
Oh! ye, that sleep in lonely graves by far-off ridge
and plain,
We drink to you in silence now as Christmas
comes again,
The men who fought the wilderness through
rough unsettled years--
The founders of our nation's life, the brave old
pioneers.
The man who beats the large drum should
never be encouraged to beat the record.
It is a consolation when another man is in
trouble to think that it will prove a valuable les-
son to him.",Australian Town and Country Journal ,"444,931,707,1038,857,1041,393,1081,308,1038,183,1038,523,1040,382,1039,358,1040,440,1039,373,1038,332,1038,312,1038,703,1046,207,1045,266,1044,467,1040,181,1008,919,1008,1033,239",Sat 19 Dec 1896,"264,360,428,463,506,6033,6079,6113,6160,6191,6239,6292,6335,252,299,346,394,441,486,6018,6066,6107,6155,6194,6244,6274,6324,246,292,343,388,432,478,6005,6051,6153,6193,6232,6272,6313","727,478,594,414,495,426,504,384,504,425,501,426,503,1508,1590,1511,1591,1511,1592,1524,1603,1523,1602,1523,1602,1522,1603,2607,2687,2609,2689,2611,2691,2622,2700,2657,2617,2659,2617,2617",71302175,Page 17
ENIGMA.—No. IV.,"32,38,36,37,38,32,38,38,37,35,38,39,41,37,33,38,40,49,53,39","ENIGMA.— No. IV.
I liave a dear partner for life,
Whoso Cilice is a series of squeaks ;..
Our hounuhoM is one scenp of strifo, '
Whera each have Ihoir own queer froaka.
I own I'm not (iver polite,
:But passion oft makesa man mad ;
I cudypU my spouse morn and night,
Anil to break her poor bead &houlu be glai
X often am joined to a bowl,
From which I'pbpln'ahd pop out ;
And glibly I pierco- through a solo.
Though never harm, salmon. or trout.
A ereaturo of spirit and mirth,
I'm welcomo wherever I go ;
And oft at a glad Christmas hoarth
Cause genius a grand overthrow I
^ M. ,8.
Jathurs*, Sept. 12tb, 185^_
Answer to Enigma No. 3— A Pbathbe.",Bathurst Free Press ,"320,471,556,591,650,412,570,577,687,443,550,556,591,489,442,567,532,150,457,612",Sat 21 Sep 1850,"3425,3491,3522,3554,3584,3653,3682,3714,3746,3814,3843,3876,3906,3981,4015,4044,4076,4117,4166,4226","633,423,458,425,458,420,450,424,458,422,457,419,456,423,457,421,456,981,374,484",62215013,Page 6
The Worshipper.,"55,37,40,32,34,30,30,35,35,35,28,30,34,30,32,29,34,30,33,33,28,32,30,34,24,33,36,34,29,37,20,33,27,33,32,29,33,33,32,31,33,30,33,30,33","The Worshipper.
I WOULD not nurse a lovely thought
apart;
Mine be the task supreme.
To whisper through the great world's
throbbing heart
The message of a dream!
Ah! glowing vision that intrigueth me;
Ah! gracious calm of solitary peace;
Yet Beauty, worshipped lone, might
barren be,
But shared, it hath increase.
O! Singer, dreaming on the mountain
height,
Take all the shining hours vouch-
safed thee there,
But still come back-thy soul aflood
with light,
And what God gave thee share.
Men are so weary of their treadmill
days,
They sigh even as they count their
barren gains!
A word-a breath-can lift to purer
ways,
And free them from their chains.
So if thy soul, athrill with ecstasy,
Sees some rare vision, deep at
Beauty's heart!
Lift up the veil that other eyes may
see
Nor worship, rapt apart.
EMILY BULCOCK.
Joe: ""Congratulations, George! I
hear you made £10,000 in three months
in an oil Speculation in Persia.""
George: ""That's not exactly correct.
It was in Venezuela, not Persia, and it
was a speculation of land, not oil; and
it was three years, not three months.""
Joe: ""No matterl The main thing is
that you made £10,000.""
George: ""Even that's not quite cor-
rect. It wasn't £10,000, it was £1000.
And I didn't make it-I lost it""",The Brisbane Courier ,"355,621,164,438,618,257,427,614,583,616,166,461,616,106,584,260,617,161,531,615,110,585,214,613,80,548,563,584,243,615,47,402,305,585,615,492,583,617,615,616,586,380,583,615,521",Sat 4 Jan 1930,"5315,5462,5486,5523,5553,5584,5613,5670,5700,5729,5761,5789,5846,5877,5906,5937,5964,5995,6024,6082,6113,6141,6171,6199,6235,6258,6314,6347,6376,6404,6441,6464,6519,6622,6651,6679,6710,6739,6769,6798,6828,6856,6887,6916,6945","535,396,396,430,397,492,427,398,429,399,492,428,399,492,430,493,399,495,432,400,493,431,494,402,495,431,403,433,495,400,493,429,679,431,402,401,433,400,401,400,431,398,431,400,399",21502619,Page 20
Original Poetry.,"56,61,50,55,62,41,41,47,47,43,49,41,42,85,43,42,44,43,44,45,44,44,59,42,43,43,42,48,44,43,41,43,44,44,42,41,46,31,41,42,44,43,43,42,41,42,40,45,40,42,40,37,39","Original Poetry.
[FOR THE SYDNEY GAZETTE.]
Shot-tables turned, and overturned; or Emanicipists
Jurors.
Blue Bonnets over the Border.
March--March, over the Border-O,
Clansmen and kinsmen; the man and his master;
March--March, freemen in order O,
Fast ye poltroons, be a footing it faster;
Come with your trimmest garbs, smiling and gaudy,
With scarlet and sky blue, pink, buff, and tawny;
Furbish your firelocks, have rusted since Bligh's day,
Paddy meets Johnny Bull--Taffy meets Sawney.
II.
March--March, kingsmen and whigamores,
'Mancipists, Ticket-men, little and tall men;
Jurymen now ye are, wiping out old scores,
Men of might now ye be, never more small men;
March in array with your banners and badges,
Shout on the way that the sky may rebellow,
Shout for the Governor, Council, and Judges,
Shout till each merry man marks not his fellow.
III.
Ye at the kneading trough, bake no more batches;
Broad-bottom'd tailor lads, goose leave, and shop-
board;
Hammermen, anvils quit, screw, vice, and catches,
Saw, plane, and chissel, boys, hang up for record.
Masons, no more I beg handle your mallets;
Woodmen, your mauls and your wedges throw by;
Painters and Poets, your pencils and pallets,
In peace for a season, I beg let them lie.
IV.
March, ye brave dungaree lads from the mountains,
Men by the creeks, be they saltish or savoury;
March from your upper and nether cool fountains;
Of long beard, and thickened skin, haste ye and
scour ye;
Raze the grey stubbled field, gathered for ages,
Look as ye looked ere each wife was a matron;
Saddle your geldings for very long stages,
March, all in duty bound, thanking your Patron.
V.
First-fleeters, lead the van, head the procession,
Boys very famous in history's story,
Trust me 'tis hard to find warmth of expression,
Fully to tell what ye were in your glory;
March in array then, with banners and badges,
Shout on the way that the sky may rebellow;
Shout for the Governor, Council, and Judges,
Shout till each merry man marks not his fellow.
October, 1829.
J. M.",The Sydney Gazette and New South Wales Advertiser ,"451,763,954,961,756,911,931,913,967,884,884,915,921,710,719,729,779,798,760,788,744,771,878,829,960,769,913,921,728,868,835,669,202,847,809,843,872,685,778,754,684,797,334,775,634,784,670,758,738,752,777,254,119",Sat 24 Oct 1829,"276,345,407,444,489,618,657,693,729,773,805,849,889,915,991,1029,1067,1107,1144,1182,1217,1258,1301,1359,1398,1435,1474,1510,1550,1588,1630,1668,1710,1772,1812,1852,1887,1938,1968,2005,2042,2083,2120,2181,2220,2259,2299,2333,2375,2413,2451,2490,2489","483,435,218,237,417,288,268,286,224,290,315,284,278,489,281,325,228,334,297,280,295,330,238,284,239,430,286,278,300,331,291,328,685,293,278,292,283,449,298,341,298,337,706,293,286,295,336,292,333,286,331,313,991",2193690,Page 4
Grandmother's Mission.,"51,47,47,43,50,48,47,48,48,49,46,51,47,50,49,46,56,47,65,50,57,46,47,55,50","Grandmother's Mission.
. Como, my darling, sit beside me,
There are words I wish to say j
Patient be, and do not chide me
If my speech should go astray. ;
I am old-yes, very old-dear,
And my days are nearly o'er ;
Come and hear the story told, dear,
That Tve long'd to tell before.
'Tis a lesson I would teach you,
For you now a maiden grow ;
And tho tones of love will reach you
Ere their sense you Ecarcely know,
Specious words will be outpouring ;
Trust them not in whole or part,
Till you feel your soul assuring
j That they come from out the heart.
I Many are the lives, my dearie,
I Doom'd to sorrow and despair 5
, Many are the lives full weary,
I Caus'd by words as false as fair.
Chide me not ; I only tell you
I Altogether for the best j
1 Let not wealth to bondage sell you,-r
, There 1 your heart will know the rest.",Australian Town and Country Journal ,"674,717,670,687,696,651,632,761,659,682,623,782,738,756,701,673,915,755,821,692,844,641,661,906,845",Sat 13 Oct 1888,"1111,1192,1239,1285,1330,1377,1425,1471,1518,1597,1644,1690,1737,1784,1830,1877,1919,2007,2039,2100,2143,2195,2240,2286,2331","2618,2498,2562,2517,2560,2515,2560,2514,2561,2516,2557,2518,2562,2513,2561,2512,2404,2404,2404,2461,2404,2514,2404,2404,2530",71103152,Page 29
Literary Matters.,"85,31,41,30,41,38,37,41,38,40,40,43,41,42,35,37,43,41,38,39,39,37,43,39,41,38,36,40,41,40,40,41,32,42,44,36,36,38,35,38,42,41,38,40,34,40,39,41,35,36,39,36,41,41,33,40,41,35,34,40,44,36,36,38,39,34,39,40,38,37,40,33,41,38,37,38,40,35,37,41,39,39,39,34,36,36,33,30,39,37,40,40,36","Literary Matters.
THE CLOSE OF LIFE.
""Evil is wrought from want of thought
As well as want of heart.""
BEND closer, mother, for my voice is weak,
And I would speak a little ere I die.
I have been dreaming, mother. Is ar ilieam
I stood within the same old cottage porch
Where, in the summer evenings, yon and I
So often sat, and sewed and read br turns.
I looked toward the village, bnt a mist—
A thick, dense mist, that deadened every sound
And shut out every sight—was o'er tbe place.
Then while I wondered vaguely whence it came,
It vanished utterly, and I could see
The rosy sunset glinting on the cave
Of quaint thatched houses in the village street,
And fields a-golden with the ripening corn.
I heard the sheep-dog barking on the Mil-.
The lowing of the cattle in the vales.
And all the homely sounds of village life;
And you were with ue as you used to be,
The calm-browed mother of the olden days.
Awhile I stood as in a pleasant trance,
Tongue-tied for very Joy; then fell the mist,
and all was dark and silent as before.
Have I been long ill, mother * I have lost
AU count of time since that most awful night
When first I felt the horror of my fate.
And knew the gift thst most of all I prized,
The power of thought, was ebbing fast away -
And that the dread of auch calamity
But brought it nearer to me. I had borne
Weariness, cold, ay. hunger—they were all.
Bet side by side a ith thi* most deadly blow,
Bnt aa the sighing of the gentle wind
Is to the raging of the mighty storm.
I made one fierce, wild straggle for the light.
Then sank in total da-fr-i-a*.
_ _  Blame them 9 80,
They paid me fairly what they thought enough.
And if, from lack of health or lack of strength,
I failed to do my work, why they could count
On hundreds who would fill my vacant place,
Perhape at lower wagea They were born
To be our rulers, and will grudge no Jot
Of what they deem their birthright. Small or nest.
The godlike Intellect of power must bow *»--■-■-
Before the throne of Mammon. And because
Of all God's gifts it is most freely given,
Onr Mammon-worshippers make light of it,
At least in value of tbe things that serve
Their need or pleasure. If their horae or dog
Beem restless, heavy-eyed, or ill at ease,
WUI they not look to find a cause for it ?
And, side by side with theae dumb brutes, are wa,
Their human slaves, not worth a passing thfmgtit t
I see things clearer than I did of old.
And in a stronger light; a* d I have learnt
The lesson that a modern poet taught—
The aad. stern truth, that evil oftls wrought
As much from want of thought as want of htsvrt,
O for a Uttle of the fire and strength
That nerved the ancient prophets to' their work-
To roase this sleeping world to life agaia.
And teU the men who hold high place in it
That all Christ's lessons in two thouaand yean
Have failed to teach them common charity 1
That he who spends his talent on himself,
Without a thought for all the world beside.
Is worse thau he who hides and hoards it up.
> Tia useless til 1 For Dives feasts within
On richest.viands, served on choicest plate,
And Uttle recks that, by the outer gate,
The street-dogs lick the sores of Lazarus.
Nay, mother, lam calm; and if my weeds
Seem the outpouriags of an angry mind,
I am not thinking of myself, bnt those—
My fellow-sufferers in thia city here—
Who day by day toil far beyond their strength
To keep themselves above starvation point
Thirg you, because the world looks coldly on
And sees them suffer, Chri.t looks coldly too r
We know that not a sparrow falls to earth
Without His Father's knowledge. Least of ail
ShaU cruel or thoughtless wrong to those He loves
Escape Ilia righteous ire.
For me, tia o'e*.
My dream fulfils itself. The mist descends.
And hidea the memory of the Ufa that'a past.
Bat through the mist there shines a brighter light,
Where Jesu waits all mercy and aU love,
, To take the wayworn sheep into hia arms.",The Queenslander ,"628,389,655,426,693,584,741,671,692,680,659,773,723,777,567,587,772,686,688,602,672,668,711,622,715,603,685,741,638,717,748,591,687,691,705,605,594,726,460,814,774,762,740,731,671,647,863,861,732,648,708,655,746,638,657,812,829,603,693,642,731,797,594,804,674,696,759,710,679,702,733,672,693,636,660,699,655,663,613,746,690,731,750,690,742,823,403,258,707,726,822,654,687",Sat 12 Oct 1872,"773,934,992,1027,1082,1115,1172,1203,1238,1269,1302,1337,1370,1402,1436,1468,1502,1534,1567,1600,1635,1668,1699,1732,1764,1794,1854,1887,1920,1953,1987,2019,2055,2085,2117,2153,2186,2217,2249,2312,2338,2372,2403,2435,2468,2499,2532,2559,2597,2631,2665,2698,2731,2759,2797,2830,2863,2896,2931,2962,2991,3030,3085,3115,3150,3186,3216,3252,3283,3317,3350,3383,3416,3450,3483,3542,3573,3606,3639,3671,3706,3739,3772,3805,3838,3871,3904,3942,3969,4003,4036,4069,4104","5257,5364,5205,5236,5134,5101,5135,5101,5101,5099,5101,5099,5099,5099,5099,5098,5096,5098,5098,5096,5096,5096,5096,5098,5096,5096,5129,5096,5096,5094,5093,5093,5096,5096,5093,5094,5094,5096,5093,5094,5094,5098,5098,5096,5099,5098,5096,5098,5098,5096,5098,5098,5098,5099,5099,5096,5098,5099,5099,5098,5098,5099,5132,5099,5099,5101,5099,5101,5099,5101,5101,5088,5099,5101,5099,5134,5101,5101,5101,5102,5099,5099,5099,5099,5101,5099,5101,5652,5101,5099,5099,5101,5088",27273046,Page 7
Original Poetry,"49,40,65,74,70,53,63,94,50,28,61,53,116,60,62,55,69,58,57,45,52,63,47,50,47,68,50,46,58,45,57,88,50,54,45,44,52,78,58,56,57,52,57,92,68,77,46,55,47,42,72,54,85,55,49,53,57,61,51,56,53,57,53,55,78,88,55,47,135,98,46,58,49,54,49,55,69,50,91,57,51,94,95,84,53,78,54,74","THE HISTORY OF A RUM PUNCHEON;
AN AUSTRALIAN TALE OF A TUB.
(Period, July 14, 1835.)
A MERCHANT of Sydney, (such merchants, I ween,
As deal in rum wholesale, are everywhere seen;)
Stood aghast, at the door of a dealer-retail,
To hear from a puncheon this wonderful tale.
The puncheon was empty, and rolled to the door,
More empty, more loud,--""Have I met you once
more,
My last and kind master, and thou, my old friend,
Hear a story,"" quoth puncheon, ""I pray you attend.
""On ship-board, my brethren and I heard the rubs
Of sailors, who called us ""the devil's own tubs;""
Who yet condescended to ask for our aid
The moment the signal for sailing was made.
""And visited me and another so oft,
That soon not a man could take turn up aloft:
But some of the scorners were thrown from the yard;
And, to hold in the mischief, the hold was well barr'd.
""So we sail'd unmolested to fair Sydney Cove,
And first heard your voice, sir, exclaim from above,
'Forty puncheons of rum, mark X, crowfoot, O,
To be sent to the stores of John Wholesale and Co.'
""The duty all paid, I remember full well,
The guage in my side my dimensions to tell;
And how long they chatted of gallons and proof,
And dues for the country's good use and behoof.
""This wrong I resented: Oh, once give me leave,
Good folk, you'll pay double, said I, in my sleeve.
Then brought to the store, I had not rested long
Before you accused me of being too strong.
""Advised my depletion, and water'd my blood;
But, fearful of losing a drop of what's good,
The surplus you took from a brother and me
You gave to a third, and we two became three.
""So ready for sale, and bound down to a dray,
I came to the place where you met me this day,
And sent to the cellar, I felt rather glum,
I knew I was nothing but water and rum.
""Mine host gave me cooling enough for a frog,
And changed my condition to two-water grog;
But to keep me from dying, presented a jug,
Containing a potion of stimulant drug.
""Now drawn through a pipe, on the counter I sped,
To prey on the vitals, to dizzy the head;
To beggar the husband, the father, the wife
To lay hold of reason, to seize upon life.
""To nerve the assassin, the prisons to fill;
Like-pistols and swords I was licensed to kill.
I drew upon Death, and he honor'd the bill,
'Twas a draft signed by Alchohol, Brothers, and Still.
""Since I saw you good sir, the bell has toll'd thrice,
For men whom I sent from the world in a trice:
One felo-de-se, one cut short at his door,
One shot while obtaining more rum at a store.
""And many more hasten reverses to meet,
Of health, mind, and morals--but Rum is so I sweet
They still call for more, and the temperate men,
Will run the career of the drunkard amain.
""So though I am empty, and my work is done,
You still may buy spirit by puncheon and tun;--
A new race arrives, unwarn'd by the past,
You'll sell your consignments, and get money fast.
""Remember good sirs, (as I bid you farewell
And haste to the place where old mammon doth dwell,)
I leave you a token, the merchant shall find,
His clerk has embezzled--his wife is unkind.
""For both have just tasted--your liquor they took.
Then why, merchant, why, give that horrified look?
On an errand of mercy, you sent me to roam,
Then why not receive my kind visits at home?
""And you, Mister Pub., must now pay up the score,
Contracted by mixing and drugging me sore;
Your boy is a drunkard, but ten years of age,
And wife drams a little her grief to assuage.
""And you, though so sober, because you abstain,
Will soon taste a little and follow the twain;
And so making congé to bid you adieu,
I'm clear in discharging my duty to you.
''Farewell, for the present, I'll see you again;
In sicknss, a story alleviates pain;--
I'll call again, then, and be in at the death;
I'll prove a near friend at your last drawing breath.
""So not to detain you--haste, haste on your way!
Eternity's length, and the great Judgment day,
Will grant us a meeting and then I can state
The fullest results of the tale I relate.""",The Colonist ,"1041,773,649,1022,1013,891,987,1089,1063,159,1063,1119,1050,1104,1048,934,762,988,1103,1086,983,1063,984,1088,889,1057,1033,1075,1052,1086,1003,894,1029,918,914,1007,983,1071,1011,871,1058,1030,942,1111,1088,940,905,1051,844,995,1102,1065,1071,1058,840,965,896,1079,1006,983,984,1061,1016,1058,1066,1097,1078,977,1036,1079,926,953,1059,985,935,1080,1125,1020,1032,842,986,1032,1061,1048,1066,1059,1055,948",Thu 16 Jul 1835,"1795,1857,1917,1972,2019,2068,2116,2197,2245,2305,2341,2390,2453,2511,2559,2605,2681,2730,2779,2827,2899,2942,2997,3045,3119,3162,3218,3261,3345,3394,3441,3489,3575,3624,3672,3721,3805,3852,3898,3949,4033,4084,4128,4176,4247,4288,4344,4392,4475,4522,4572,4619,4697,4744,4792,4845,4928,4974,5024,5072,5147,5196,5243,5287,5373,5417,5516,5563,5639,5690,5741,5784,5866,5918,5967,6008,6092,6141,6188,6231,6314,6361,6408,6444,6537,6580,6631,6680","3907,4053,4174,3898,3901,3898,3897,3896,3923,3959,3895,3897,3897,3897,3896,3895,3896,3894,3894,3894,3895,3892,3895,3895,3894,3883,3888,3895,3910,3892,3892,3893,3893,3893,3892,3887,3892,3887,3890,3890,3890,3888,3890,3890,3889,3887,3886,3887,3927,3887,3887,3894,3886,3887,3888,3887,3884,3887,3884,3880,3886,3880,3885,3888,3887,3877,3878,3885,3883,3878,3883,3880,3882,3881,3882,3880,3881,3881,3882,3881,3884,3905,3884,3887,3884,3885,3879,3887",31716722,Page 6
GOD SAVE THE PRINCE.,"46,31,37,38,41,42,36,40,35,37",". . . - V QÓD. SAVE THE PIUNOE.'
?j.: God bless our Sailor Prince,
""; ': 'God save oiir nation's joy, ,
... ,' God drivo all traitor» honoe, .' , '
? V .¡ ^ .', i And guard dur Sailor .Boy. ?.<,'. ? 1 ? 's
: i;. ' V. ; ?r'Q.odXeepi'Vietoria'eson; . ,.i':V .<.... ' ?;!
i .' Prom harm and (langor'iroo,
. f ,-''-1 God ""guido tho'gullóless ons,,
. '"" .' -' .Through lifo, ""by lomd and.sca. -í '
' ; ; .V:;:'.:V ' E.",Empire ,"580,445,721,746,793,818,569,599,611,474",Tue 17 Mar 1868,"2869,2948,2986,3020,3058,3120,3164,3199,3238,3275","2909,2993,2912,2865,2876,2853,2915,2852,2936,3146",60851357,Page 3
THE CHILDREN'S CORNER.,"70,56,47,50,55,57,57,55,45,49,48,42,53,52,54,55,54,46,46,49,55,53,53,48,51,44,47,47,50,54,52,49,49,46","THE CHILDREN'S CORNER,
To the Old Year.
Good-bye, Old Year!
""While others ring
The New Year in, and loudly sing ,
Of what delight and peace 'twill bring,
. Ere the last tolling of the bell
To the world soundeth thy death-knell;
I bid thee now a fond farewell
; Good-bye, Old Year I
Good-bye, Old Year!
While others raise . '
To thy successor hymns.of praise; . '
I'll thank thee for the bygone days; ; .
Many a blessing hast thou brought, ;
Many a sacred truth hast taught r cy,.
Fruitful changes have been wrought ;.,* ¡1..
By thee, Old Year. : . :: . : .
Good-bye; Old Year !
Should-I alone - ,.
Bemembec thee when thou art gone* . :
. I'll thank thee for the good thou'st done.
The world forgets the absent friend; .
To each new-comer doth it bend,
And casts it off when near the end,
Like thee, Old Year.
Good-bye, Old Year !
Dost thou forget
How men with joy thy advent met ?
That praise the New Year hath ; hut yet,
When once again its reign is o'er,
The world, it may be, as before,
Will leave to me to say once more,
Good-bye, Old Year !",Australian Town and Country Journal ,"967,462,437,373,751,802,680,827,637,460,440,699,777,819,790,842,888,823,431,830,823,949,800,682,740,428,432,352,756,862,714,671,721,434",Sat 28 Dec 1889,"303,425,523,568,613,658,704,749,795,840,920,966,1011,1056,1101,1147,1192,1237,1316,1361,1407,1451,1497,1543,1588,1633,1714,1760,1805,1850,1896,1941,1987,2033","1210,1463,1272,1270,1269,1270,1219,1269,1268,1251,1271,1269,1269,1268,1268,1267,1269,1269,1265,1269,1266,1177,1265,1265,1266,1267,1267,1268,1265,1264,1267,1265,1266,1265",71127375,Page 28
Poets Cornes,"37,542,36,36,41,39,41,38,35,37,34,41,36,35,42,40,36,34,37,42,36,40,45,41,41,42,43,43,43,36,43,38,45,33,39,44,35,43,41,43,38,37,32","^ ? f
[?]
I THE SPELL OF THE WESTERN
PAWN.
Oh! I've been held by a wondrous spell
while the dawn line spread its arc,
[While I restrained a quadruped haif
on for an equine lark.
I've loved the zest of the dawn out
west, but now, here in the towns
The steeds I know are tired and slow,
poor work-worn bays and browns.
So while the dawn is lifting the cast
I lie and picture scenes
Hade up of men and camps and gear
and equine kings and queens.
In here the rows and miles of homes
blot out the lift of dawn
That outback fades and widens away
like night-worn blinds. withdrawn;
And none here knows of the winds that
blow like nectar night distilled.
J4nd all the prance and eagerness of my
steeds has long been killed.
So while I hear poor milk cart slaves
here breaking the dawn's soft hush
I let my vagrant mind go back to those
camps in the dawn-lit bush.
facing the morn, while the arc of dawn
rolled back for the coming day,
J*ve felt entranced while a live steed
danced, but I hadn't a word to say,
For thought, is small in the silence, all
too full of a sense of awe
That holds while the dawn is lifting its
spell in the thrill of the short
wind raw,
Bo while I etch my pictures here while
day breaks int^ the room
J know the spell of the western dawn
as it rolls back the night-time's
gloom.
L. A. SIGSWORTH.",The Central Queensland Herald ,"152,636,682,134,710,617,711,392,714,596,712,599,714,456,714,523,713,463,717,632,716,560,714,501,714,638,716,507,714,579,713,637,715,469,715,635,180,715,453,711,634,109,355",Thu 14 Jan 1937,"671,589,1224,1266,1331,1373,1411,1454,1492,1533,1573,1613,1653,1695,1733,1774,1839,1880,1918,1959,1998,2038,2077,2118,2158,2196,2238,2278,2347,2389,2427,2468,2504,2549,2585,2626,2669,2704,2748,2787,2825,2871,2913","495,940,110,408,115,194,117,194,116,196,116,194,117,195,117,196,116,196,117,197,116,196,117,196,116,195,116,193,117,194,117,195,115,196,117,195,197,115,194,118,196,197,441",72389486,Page 8
